,NAME OF COMPANY,SYMBOL,Sscore,beta,cagr,currency,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,grossMargins,grossProfits,kendall,marketCap,market_cagr,net_cagr,operatingMargins,pearson,period,price,returns,revenueGrowth,revenuePerShare,sector,sharp_ratio,spearman,std,totalCash,totalCashPerShare,totalDebt,totalRevenue,volitility
1789,Universal Cables Limited,UNIVCABLES.NS,414942256.31684226,0.9659708084123302,0.26299607309231465,INR,57.731,0.787,1870866560.0,0.08453,INR,0.22850001,4085569000.0,0.19072175507064626,14454104064.0,0.1260966657147795,0.13689940737753514,0.074250005,0.31227801444950204,11.378082191780821,416.6000061035156,0.2388409117130956,0.206,638.096,Industrials,0.028707573605362018,0.279923432544723,0.03301502971710086,99702000.0,2.875,7484553216.0,22133049344.0,8.319787488709416
1790,Universus Photo Imagings Limited,UNIVPHOTO.NS,261605141.86716047,0.39115489674411663,0.7939584979758756,INR,,,-18816250.0,-0.04776,INR,0.09792,176384000.0,0.11041510094563212,4408196096.0,0.13083032381922788,0.6631281741566477,-0.05668,0.13896967166094745,3.254794520547945,402.70001220703125,0.5954656952404835,-0.281,36.018,Healthcare,0.05934516890129755,0.16050761334851973,0.03981721093467968,3919899904.0,358.159,0.0,394016000.0,10.03393715553928
1791,UNO Minda Limited,UNOMINDA.NS,18710062013.877518,0.855332744879564,0.5103409771667622,INR,26.613,0.526,11508950016.0,0.106929995,INR,0.35099,29683600000.0,0.18569428274557453,319713181696.0,0.1260966657147795,0.3842443114519827,0.07197,0.31877486817858947,11.378082191780821,557.9500122070312,0.4217908666165364,0.337,188.764,Consumer Cyclical,0.05852139694280114,0.2725132450702493,0.02860104795277355,2649400064.0,4.645,10898799616.0,107625996288.0,7.207464084098934
1792,UPL Limited,UPL.NS,17683089901.342873,0.9744609607106692,0.21615779938565405,INR,67.569,-0.351,111600001024.0,0.2083,INR,0.49080002,267720000000.0,0.27766557760736726,508762095616.0,0.1260966657147795,0.09006113367087454,0.16076,0.45460847363949153,11.378082191780821,677.7999877929688,0.2001841399629092,0.045,687.183,Basic Materials,0.03475708991239315,0.40045889582117195,0.022855236436410454,61419999232.0,82.824,239389999104.0,535760011264.0,5.759519581975434
1793,Urja Global Limited,URJA.NS,138911579.05894437,0.3964764677354677,0.34462735969840974,INR,,,,0.0,INR,0.0,83250000.0,0.1029672012721474,4290486272.0,0.1278526500536885,0.21677470964472123,0.0,0.12395771978896108,6.13972602739726,7.699999809265137,0.3022132860812774,,,Technology,0.03237665156173337,0.15004248006510398,0.03704086166737915,,,,,9.334297140179547
1794,Usha Martin Limited,USHAMART.NS,1653676892.8003054,1.0161593438891316,0.22334506116899489,INR,20.468,-0.031,5413899776.0,0.16568,INR,0.44722998,,0.21309460311178735,70075424768.0,0.1260966657147795,0.09724839545421538,0.14503,0.31301731796824117,11.378082191780821,229.9499969482422,0.20621167708501628,0.116,107.42,Basic Materials,0.023598528275428424,0.3128246470622849,0.03467590420649085,1619900032.0,5.327,4165400064.0,32677599232.0,8.738327860035694
1795,Udayshivakumar Infra Limited,USK.NS,8.662152327225008e-08,1.4518968198794555,0.0,INR,54.587,,242011008.0,0.13036999,INR,0.1717,316973000.0,0.1746031746031746,1747147520.0,0.40141489036573486,-0.40141489036573486,0.1013,0.21201023483584833,0.12054794520547946,31.5,4.683753385137379e-16,,50.857,Industrials,4.95788262185497e-17,0.21729611384783798,0.03748842877998667,186068000.0,5.098,394561984.0,1856291968.0,9.44708405255664
1796,UTI Asset Management Company Limited,UTIAMC.NS,1449573829.121714,0.6513596496473072,0.10639718952635846,INR,,0.6,6118799872.0,0.48299,INR,0.67279,,0.18325508607198748,82220449792.0,0.1739372637588268,-0.06754007423246833,0.45146,0.28313737285791385,2.591780821917808,646.25,0.1028616373100957,0.069,99.788,Financial Services,0.017630332025534077,0.26871722404107434,0.023152207221379468,3572100096.0,28.135,0.0,12668600320.0,5.834356219787626
1797,Uttam Sugar Mills Limited,UTTAMSUGAR.NS,247090247.76287425,0.796046269907664,0.2516697953791611,INR,,,,0.0,INR,0.0,,0.15118466372461342,10545134592.0,0.1260966657147795,0.1255731296643816,0.0,0.21848158317941005,11.378082191780821,269.6000061035156,0.229626102219501,,,Consumer Defensive,0.0234316826975663,0.22152416257237087,0.03888814572595199,,,,,9.799812722939903
1798,V2 Retail Limited,V2RETAIL.NS,46481263.37306806,1.017691636126885,0.16396324052121392,INR,164.448,-0.249,310372256.0,0.03861,INR,0.30347002,1988802000.0,0.1757603541504954,2733272320.0,0.1260966657147795,0.037866574806434405,0.016239999,0.299672475585214,11.378082191780821,77.6500015258789,0.15531246048581723,0.003,234.157,Consumer Cyclical,0.017005719859288684,0.2557337500483647,0.03624188171637394,62756000.0,1.825,4205512960.0,8039171072.0,9.132954192526233
1799,Vadilal Industries Limited,VADILALIND.NS,630901940.6827941,1.039825572321318,0.3351307632494256,INR,28.001,,1578209024.0,0.1541,INR,0.47144002,3381653000.0,0.23412337708675895,17116019712.0,0.1260966657147795,0.20903409753464608,0.13549,0.3484103385593275,11.378082191780821,2381.25,0.2956570819086467,0.11,1424.98,Consumer Defensive,0.03686031865460346,0.33940634828336136,0.03182941524516231,677849984.0,94.32,1064067968.0,10241328128.0,8.021012641780901
1800,Vaibhav Global Limited,VAIBHAVGBL.NS,2816944744.660466,0.7202382027195192,0.46106193408624674,INR,14.434,-0.44,1694295552.0,0.062750004,INR,0.62947,17810653000.0,0.16383096191145255,52763865088.0,0.1260966657147795,0.33496526837146723,0.05047,0.26779705432430134,11.378082191780821,319.75,0.3878582736100896,-0.017,164.63,Consumer Cyclical,0.05338776338621788,0.2426374808644277,0.02882908059360092,2126342016.0,12.951,1658668032.0,26999441408.0,7.2649283095874315
1801,Vaishali Pharma Limited,VAISHALI.NS,37089487.87992636,0.20741267720337506,0.2182308056639537,INR,66.32,0.658,90268424.0,0.13114001,INR,0.21506001,123039564.0,0.043811235379101164,1515918592.0,0.12518540159255465,0.09304540407139905,0.12722999,0.07552688332554065,5.736986301369863,136.4499969482422,0.20168531855796598,-0.099,65.324,Healthcare,0.02446667523946191,0.06140120772480204,0.03271137405769628,6851000.0,0.649,198028992.0,688330240.0,8.243266262539462
1802,Vakrangee Limited,VAKRANGEE.NS,161334797.7577104,0.5723009688354552,0.07468972981399435,INR,,-0.988,635536512.0,0.06911,INR,0.096,1761797000.0,0.12804590769813753,18456004608.0,0.1260966657147795,-0.051406935900785156,0.05175,0.18245448243740153,11.378082191780821,17.399999618530273,0.07368379096727236,0.202,8.567,Technology,0.008741588506527447,0.18810491222576886,0.03344884006877456,523424000.0,0.486,0.0,9196441600.0,8.42910769733119
