,% Change,52 Week Range,Change,Circulating Supply,Day Chart,Market Cap,Name,Price (Intraday),Sscore,Symbol,Total Volume All Currencies (24Hr),Unnamed: 0,Volume in Currency (24Hr),Volume in Currency (Since 0:00 UTC),cagr,currency,marketCap,period,price,returns,sharp_ratio,std,volitility
10,-0.08%,,-0.02,395.274M,,8.115B,Solana USD,20.53,294678517.02449286,SOL-USD,484.743M,10,484.743M,484.743M,1.7078530954598028,USD,8268277760.0,3.1013698630136988,20.889863967895508,0.6877570918268743,0.03563964897866383,0.07657748847275889,19.29752709513524
11,-2.08%,,-0.018165,9.249B,,7.917B,Polygon USD,0.855986,354743186.93263876,MATIC-USD,485.904M,11,485.904M,485.904M,2.6817986507182816,USD,8070388224.0,4.054794520547945,0.8725244998931885,0.899882608033785,0.04395614895919024,0.08123920804818797,20.47228042814337
12,-0.10%,,-7e-05,101.676B,,7.031B,Wrapped TRON USD,0.069149,76564565.38657016,WTRX-USD,1.413M,12,1.413M,1.413M,0.13689687218333968,USD,7162955776.0,1.2,0.07044877856969833,0.08858145824711319,0.01068896245919949,0.032885672912088736,8.287189573846362
13,+1.10%,,0.0586,1.183B,,6.359B,Polkadot USD,5.3766,61084264.267026074,DOT-USD,177.614M,13,177.614M,177.614M,0.24930440115446473,USD,6322203648.0,2.73972602739726,5.336475849151611,0.15367644704424727,0.009661862804174269,0.06311693543682259,15.905467730079293
14,-0.69%,,-0.000477,90.484B,,6.233B,TRON USD,0.06888,159985771.19047067,TRX-USD,228.308M,14,228.308M,228.308M,0.854384594260809,USD,6407876096.0,5.52054794520548,0.07088714838027954,0.4263652801289295,0.024967051296503513,0.06776634111511132,17.077117961008053
15,+1.04%,,0.82,72.894M,,5.823B,Litecoin USD,79.88,115800115.33888377,LTC-USD,612.902M,15,612.902M,612.902M,0.40178272531714554,USD,6894485504.0,8.668493150684931,94.5206527709961,0.23318271247085798,0.016796048852622807,0.05509201790313979,13.883188511591227
16,-0.03%,,-0.0003,5.766B,,5.766B,Binance USD USD,1.0001,-1430264.660121708,BUSD-USD,2.768B,16,2.768B,2.768B,-0.0003138010321518392,USD,5546597376.0,3.6575342465753424,1.0003150701522827,-0.00021668567138563225,-0.00025786343647556434,0.0033345703721795114,0.8403117337892368
17,-0.70%,,-6e-08,589.538T,,5.199B,Shiba Inu USD,8.82e-06,,SHIB-USD,154.809M,17,154.809M,154.809M,inf,USD,5154558464.0,2.791780821917808,8.743439138925169e-06,inf,,,
18,-0.22%,,-0.03,331.451M,,5.055B,Avalanche USD,15.25,80067477.94609152,AVAX-USD,228.546M,18,228.546M,228.546M,0.482105058035021,USD,4995353088.0,2.8438356164383563,14.990608215332031,0.29099505466219155,0.016028392094731447,0.07204355081786945,18.1549748061031
19,-0.00%,,-1.3e-05,4.883B,,4.881B,Dai USD,0.999588,4444736.744419112,DAI-USD,225.667M,19,225.667M,225.667M,0.0023200001774161816,USD,4862945792.0,3.484931506849315,1.0006463527679443,0.0015998983816599096,0.0009140008822905489,0.0069461673668350325,1.7504341764424283
20,-0.60%,,-166.45,155009,,4.247B,Wrapped Bitcoin USD,27399.54,140996690.44477662,WBTC-USD,138.521M,20,138.521M,138.521M,0.6110844055241458,USD,4206135552.0,4.295890410958904,27125.982421875,0.3292621616711879,0.0335216705932678,0.038977648086249504,9.822367317734875
